ID,Volume,Page,Date,Author,Title,Imprint,Quotation,headnote
vol1_p1_a1,Vol.1,p1,"1357, April to Dec.",,"Payments to and for Geoffrey Chaucer, then in the household of the Duchess of Clarence","Addit. MS. 18,632; fr. 2, 101, fly leaves (Kirk, 152-3. See also Life-Records of Chaucer, III, ed E. A. Bond, pp. 105-13, and New Facts in the Life of Chaucer, by E. A. Bond, in the Fortnightly Review, Aug. 15, 1866, No. xxxi).",,
vol1_p1_a2,Vol.1,p1,"1359, Nov, 8 to Nov. 7, 1360",,"Account of William de Farle, Keeper of the Wardrobe of the King's Household, containing the entry of Edward III.'s contribution towards the ransom of Chaucer after he was taken prisoner by the French.","Exchequer Q. R. Wardrobe and Household Accounts, 3 9 3 | 11 ff. 69, 70 (Kirk, 153-5).",,
vol1_p1_a3,Vol.1,p1,1360 [Oct. 9 to 30?].,,"A payment to Chaucer, by order of Lionel, earl of Ulster, of nine shillings for bearing letters to England from Calais and returning.",Exchequer Accounts 3 1 4 | 1.,"[This entry, only discovered by M. Delachenal in 1909 (Histoire de Charles V., Paris, 1909, vol. ii, p. 241, n. 1), and therefore not in Kirk's Life-Records, occurs in an account of the Earl of Ulster's expenses at Calais at the time of the treaty of peace, and runs:]
Expense domini Comitis Vltonie apud Caleys existentis ibidem ad tractatum et redeundo in Angliam, facte per manus Andree de Budeston, anno xxxiiijto... Datum Galfrido Chaucer per preceptum domini eundo cum literis in Angliam iij roiales precio ixs.","[See A new Chaucer Item, by O. F. Emerson in Modern Language Notes, Jan., 1911, vol. xxvi, pp. 19-21; and, for a more correct statement and a print of the document, Tle new Chaucer Item, by S. Moore, in Modern Language Notes, March, 1912, vol. xxvii, pp. 79-81.]"
vol1_p1_a4,Vol.1,p1,"1367, June 20",,"The King grants an annuity of 20 marks to Geoffrey Chaucer, his beloved yeoman.","Patent Roll, 41 Edw. III., p. 1, m. 13 (Kirk, 160. Rymer, vol. vi, p. 567. Godwin, App. v).",,
vol1_p1_a5,Vol.1,p1-2,"1367, Nov. 6",,The first half-yearly payment of Geoffrey Chaucer's annuity.,"Issue Roll, Mich.,2 42 Edw. III., m. 9 (Kirk, 160, and Nicolas, note B).",,"[This annuity from the King, of 20 marks yearly, continues to be paid, half-yearly, 161, 170, 175, 179-82, 188, 192-4, 196, 198, 200, 213, 216, 221, 223, 224, 228, 231, 233-5, 237-8, 240, 242, 245-6, 249, 251, 255, 258, 266, 271-4.]"
vol1_p2_a1,Vol.1,p2,"[1368, Dec.]",,"Schedule of names of the Houschold of Edward III., for whom Robes for Christmas were to be provided, including...Geoffrey Chaucer among the Esquires.","Exchequer Q. R. Wardrobe and Household Accounts, 3 9 5 | 10 (Kirk, 162, 165. For date, see p. 162, note 2).",,
vol1_p2_a2,Vol.1,p2,"1369, June 27",,"Counter-roll of the Comptroller of the King's Household, furnishing, among other matters, the names of the members of the Household who received money for their Summer Robes. Chaucer is among the ""scutiferi.""","Exchequer Q. R. Wardrobe and Household Accounts, 396|11 (Kirk, 171).",,
vol1_p2_a3,Vol.1,p2,"1369, Sept. 1",,"Writ of Privy Seal to Henry de Snayth, clerk, Keeper of the Wardrobe, directing him to issue divers lengths of black cloth to the members of the King's Household for their Mourning at the funeral of Queen Philippa. Chaucer receives 3 ells of black cloth, short.","Exchequer Q. R. Wardrobe and Household Accounts, 396|2 (Kirk, 172-4).",,
vol1_p2_a4,Vol.1,p2,"1369, Sept. 1",,"Extract from the enrolled Account of Henry de Wakefield, Keeper of the Wardrobe of the King's Household; containing the advances of money made–at the commencement of the war in France-to certain members of the Household, including Chaucer, on account of their wages and expenses at various times in the year 43 Edw. III.","Exchequer L. T. R. Enrolled Accounts, Wardrobe, Roll 4, m. 21 (Kirk, 175-6).",,
vol1_p2_a5,Vol.1,p2,1370 June 20,,"Chaucer, going to parts beyond the seas, has letters of protection till Michaelmas.","Patent Roll, 44 Edw. III, p. 2, m. 20 (Kirk, 180. Godwin, App. vii).",,
