ID,Volume,Page,Date,Date_certainty,Author,Title,Imprint,Quotation,headnote
part1_p14_a1,Vol.1,p14,[a. 1400],low,Unknown.,The Gest hystoriale of the destruction of Troy,"Unique MS., Hunterian museum, Glasgow, bk. xix, fol 124 b, ll. 8051-4 (ed. G. A. Panton and David Donaldson, E. E. T. soc., 1869 and 1874, pp. 261-2).","The sorow of Troilus for Breisaid his loue.
. . . . . . . .
No lengur of thies louers list me to carpe,
Ne of the feynit fate of þat faire lady;
Who-so wilnes to wit of þaire wo fir,
Turne hym to Troilus, & talke þere ynoghe!","[It is doubtful whether this allusion 'Turne hym to Troilus and talke þere ynoghe' refers to Chaucer's Troilus, but there is a possibility that it may do so. The whole Gest is an amplified englishing of Guido de Colonna’s Historia Trojana (c. 1381-82), and the corresponding passage in Guido runs:—""Cedo, Troile, quæ te tam juvenilis errare Coegit Credulitas, ut Briseidæ lacrimis crederes deceptivis et ejus blanditiis""; and in what precedes and follows, the English book follows Guido pretty closely; so that it seems likely that the passage is suggested by him.]"
part1_p14_a2,Vol.1,p14-15,[1400],medium,"Lydgate, John.","The Serpent of Deuision, Wherein is conteined the true History or Mappe of Romes ouerthrowe..... Whereunto is annexed the Tragedye of Gorboduc..... At London. Printed
by Edward Allde for John Perrin,...",1590. sign. c. iij b .c. iv.,"[Describing the death of Cæsar]... so that touching the
manner of his tragedy : I may conclude with ye flower of
Poets in our English tung, and the first that euer elumined
our language with flowers of rethorick eloquence: I mean
famous and worthy Chaucer, which compendiously wrought
the death of this mightye Emperour, saying thus
With Bodkins was Cœsar Julius
Murdred at Rome of Brutus Crassus
When many a Region he had brought full lowe,
Lo! who may trust Fortune any throw.
[A very free summary of Monkes Tale
ll. 3863-5, 3885-98, 3912-15.]
The conclusion. Thus by the large writings and golden
vollums of that woorthye Chaucer, the froward Dame of
Chaunce hath no respect of persons.","[This tract was previously printed under the title “The Damage and Destruccyon in Realmes, first by me Peter Treuerys,"" c. 1520, then by Owen Rogers, 1559. In Gorboduc, ed. L. Toulmin Smith (Englische sprach. u. lit. denkmäler, ed K. Vollmöller, vol. 1)1883, pp. xx-ii, an extract with part of the Chaucer reference is given from Lord Calthorpe's Yelverton MSS, vol. 85, ff. 146b-156; the tract will be found mentioned in Report II, Roy. Com. Hist. MSS., vol. i, 1871, p. 42. See Miss Toulmin Smith for date, authorship, editions, etc.]"
part1_p15_a1,Vol.1,p15,[c. 1400],low,"Lydgate, John.",The Chorle and the bird.,"Last stanza. MS. Harb 116, fol. 152. (Lydgate’s minor poems, ed. J. O. Halliwell, 1840, Percy soc., vol. ii, p. 193.)","Go gentill quayer, and Recommaunde me
Vnto my maistir with humble affectioun
Beseke hym lowly of mercy and pite
Of thy rude makyng to haue compassioun
And as touching thy translacioun
Oute of frensh / hough euer the englisshe be
Al thing is saide undir correctioun
With supportacioun of your benignite.",
part1_p15_a2,Vol.1,p15,[c. 1401],low,"Lydgate, John.","The floure of curtesye,","stanzas 34-5; no MS. copy known; first printed in Chaucer's works, ed. W. Thynne, 1532, sign. D dd. ii b, or fol. cclxxxiiii b, and in J. Stowe's 1561 edn. of Chaucer, fol. ccxlix, who first attributed it to Lydgate (Chaucerian and other pieces, ed. W. W. Skeat, 1897, p. 273; for date and authorship, see ibid., introduction, p. xlv).","Euer as I can supprise in myn herte
(34)
Alway with feare betwyxt drede and shame
Leste oute of lose, any worde asterte
In this metre, to make it seme lame,
Chaucer is deed that had suche a name
Of fayre makyng that [was] without wene
Fayrest in our tonge, as the Laurer grene.
We may assay forto countrefete
(35)
His gay style but it wyl not be;
The welle is drie, with the Iycoure swete
Both of Clye and of Caliope.
. . . . . . .",
part1_p15_a3,Vol.1,p15-16,[1402-3],medium,"Lydgate, John.","The complaint of the Black Knight,","MS. Fairfax 16, ff. 20b, 30, [used by Krausser]; Add. 16165, ff. 190b, 200 b.; Arch. Selden, B 24, fol. 120. (Ed. Emil Krausser, 1896, pp. 54-5.)","What shal I say of yonge Piramus?
(53)
Ot trwe Tristram for al his high renovne?
Of Achilles or of Antonyus?
Of Arcite or of him Palamovne?
What was the ende of her passioun?
But after sorowe dethe and then her graue.
Lo her the guerdon that [thes] louers haue!
. . . . . . . .
(55)
Of Thebes eke [loo] the fals Arcite,
And Demophon eke for his slouthe,
They had her lust and al that myght delyte,
For al her falshede and [hir] grete vntrouthe.","[At the end of Arch. Selden (c. 1488, q.v., below p. 68) occur these words: ""Here endith the maying and disport of Chaucere,"" and under this title the Complaint was printed by Chepman and Myllar, 1508 (q. v. p. 70). Dart reprinted it also as Chaucer's in 1718 (q. v. below). For authorship and date see Chaucerian and other pieces, ed. W. W. Skeat, 1897, introduction, pp. xliii-v; he reprints the Complaint from W. Thynne's edn. of 1532, pp. 245-66, Chaucer references, pp. 256-7.]"
part1_p16_a1,Vol.1,p16,[c. 1403,low,"Clanvowe, Sir Thomas?]",The Cuckow and the Nightingale,"MSS. in B. M., Bodleian, Camb. Univ. library (Chaucerian and other pieces, ed. W. W. Skeat, 1897, p. 347; and for authorship, date, details of MSS. and early printed edns. see ibid., pp. Ivii-lxi).","[first line] The god of love, a! benedicite!
How mighty and how greet a lord is he!
[quoted from Knight's Tale, lI. 1785-6].","[For the argument that this poem is by Sir John Clanvowe, and was written before 1391, see G. L. Kittredge in Mod. Philology, Chicago, vol. i, pp. 13-18.]"
part1_p16_a2,Vol.1,p16-17,[c. 1403?],low,"Lydgate, John.",Here begynneth a breue compiled tretyse callyd by the Auctor thereof Curia Sapiencie.,"MS. Trin. Coll. Cambr. R. 3. 21. 377; printed by Caxton [1481?] under title De Curia Sapientiæ (of which a few verses only are extant among the Caxton fragments in the B. M., pr. mk. IB 55003); and by Wynkyn de Worde, 1510, as The courte of sapyence. Proheme, stanzas 7, 8, 9, sign. a ii, f. i b.","(7)
But netheles as tasted bytternesse [sign. a ii]
All swete thynge maketh be more precyous
So shall my boke extende the goodlynesse
Of other auctoures whiche ben gloryous
And make theyr wrytynge delycyous
I symple shall extoll theyr soueraynte
And my rudenes shall shewe theyr subtylyte.
(8)
Gower chaucers erthly goddes two
Of thyrste of eloquent delycacye
. . . . . . . .
(9)
. . . . . . .
. . . . ...
With all your successours fewe or moo
Fragraunt in speche / experte in poetrye
You ne yet them in no poynt I enuye
Exyled as ferre I am from your glorye
As nyght from daye / or deth from vyctorye.
I you honour / blysse / loue / and gloryfye
Who so thynketh my wrytynge dull & blont [sign. f.1b]
And wolde conceyue the colours purperate
Of Rethoryke go he to triasunt
And to Galfryde the poete laureate
To Januens a clerke of grete astate
Within the fyrst parte of his gramer boke
Of this mater there groundely may he loke.","[The extract here given is from the 1510 edn. The allusion to 'Galfryde the poete laureate,' refere most probably to Galfridus de Vinosalvo, also called 'Galfridus Anglicus.' See below, p. 49. See The Temple of Glas, ed. J. Schick, E. E. T. soc., notes, pp. 77-8. Dr. H. N. MacCracken will not allow that this poem is by Lydgate; see his Lydgate Canon, Philological society Transactions 1908, p. xxxi.]"
part1_p17_a1,Vol.1,p17-18,[1403?],low,"Lydgate, John.",The Temple of Glas.,"MS. Tanner, 346, ff. 76-97. 1400-20. Il. 102-10 (direct reference to Chaucer), Il. 75-6, 137-42, 184-5, 405-6, 409-10 (indirect references). (Ed. J. Schick, E. E. T. soc., extra series Ix, 1891, pp. 3-7, 17.)","[ll. 75-6] There was [also] Grisildis innocence
And al hir mekenes, & hir pacience.
[ll. 102-10] There saugh I also þe soror of Palamoun,
That he in prison felt, & al þe smert,
And hov þat he, þurugh vnto his hert,
Was hurt vnwarli þurugh casting of an eyȝe
Of faire fressh, þe ȝung[e] Emelie,
And al þe strife bitwene him & his broþir,
And hou þat one fauȝt eke with þat oþir
Wiþ-in þe groue, til þei bi Theseus
Acordid were, as Chaucer telliþ us.
[ll. 137-142] And vppermore depeint men myȝt[e] se,
Hov with hir ring, goodli Canace
. . . . . . .
. . . ..
. . . . . . .
(9)
Of euere foule þe ledne & þe song
Coud vndirstond, as she welk hem among;
And hou hir broþir so oft holpen was
In his myschefe bi þe stede of bras.
[ll. 184-5] For it ne sit vnto fressh[e] May
Forto be coupled to oold[e] Ianuari¬
[ll. 405-6] Grisild[e] was assaied at[te] ful,
That turned aftir to hir encrese of Ioye;
[ll. 409-10] Also þe turment þere coude no man akoye
Of Dorigene, flour of al Britayne.",
part1_p18_a2,Vol.1,p18-19,[c. 1407],low,"Scogan, Henry.",A moral balade made by Henry Scogane squyer,"[addressed to Henry IV's sons], stanzas 9, 13, 17. MS. Ashmole 59, ff. 26-27. Printed by Caxton [1478?], Caxton fragments, no. 1 [B. M. pr. mk. IB 55016), and by W. Thynne in Chaucer’s works, 1532, ff. 380-1. (Chaucerian and other pieces, ed. W. W. Skeat, 1897, pp. 239-40; Parallel text of Chaucer’s minor poems, ed. F. J. Furnivall, Chaucer soc. [1871], pp. 427, 430.)","[fol. 26]
My maistre Chaucier / god his soule have /
þat in his langage / was so curyous
He saide þat be fader / nowe dede and grave /
Beqwaþe no-thing / his vertue with his hous /
Vn-to his sone /
(13)
[fol. 26b] By avncetrye þus may yee no-thing clayme
As þat my maistre Chaucier doþe expresse
But temporell thinge / þat man may hurte & mayme
þane is gode stocke / of vertuous noblesse.
..... herke howe my maistre seyde
[Here follow the three verses of Gentilesse.]
(17)
[fol. 27] Loo here þis noble Poete of Brettayne
Howe hyely he in vertuous sentence
þe lesse in youþe / of vertue / can compleyne
Wherfore I prey yowe / dooþe youre diligence","[Scogan quotes Chaucer's poem Gentilesse in full, as it is given in Ashmole MS.59, fol. 27.]"
part1_p19_a2,Vol.1,p19-20,[1409-11?],low,"Lydgate, John.",The Life of our Lady.,"Cotton MS. App. viii, No. i; Harl. MS. 629, fol. 43b-44. Printed by Caxton 1484(?) [B. M. and Bodl.] as A comendacion of chauceres, cap. xxxiiij, sign. e 7 b. Printed by Robert Redman, 1531, sign. N iv b. Oi.; table of chapters, sign. a 2b.","¶ A commendacioun of Chaucers. [Harl 629. fol. 43 b-44]
And eke my master Chauceris nowe is graue
The noble rethor Poete of breteine
That worthy was the laurer to haue
Of peetrie [sic] and the palme atteine
That made firste to distille and reyne
The golde dewe droppis of speche and eloquence
In-to oure tounge thourȝ his excellence
¶ And founde the flourys first of rethoryk
Oure rude speche oonly to enlumyne
That in oure tunge was neuer noon him like
For as the sunne dothe in heuen shyne
In mydday speere dovn to vs by-lyne [fol. 44]
In whos presence noo sterre may appere
Riȝt so his ditees withoute any peere
¶ Eny makyng with his liȝt disteine
In sothfastnesse who so taketh heede
Wherfor noo wondre thouȝ myn herte pleyne
Vpon his dethe and for sorowe blede
For wante of him nowe in my greet[e] nede
That shulde allas conveie and directe
And with his supporte amende and corecte
¶ The wronge tracys of my rude penne
Ther as y erre and goo nouȝt Iyne riȝt
But for that he ne may me not kenne
I can no more but with alle my myȝt
With alle myne herte and myne inward siȝt
Praye for him that nowe lieth in cheste
To god above to ȝiue his soule good reste
¶ And as y can forthe y wil procede
Sithen of his helpe ther may noo socour bee
And thourȝ my penne ay quakyng for drede
Neither to. Cloie. ne to. Caliope
Me liste not calle for to helpe me
Ne to no muse my pointel for to guye
But leue alle this and seie to Marie
O clene castel and the chaste toure
Of the hooly goost modir and virgine
Be thou my helpe &c. ...","[This poem will also be found in Harl. MSS. 3802; 3952; 4011, No. 7; 5272, No 1. See p. 53, below, for another version of the first 7 lines.]"
