ID,Volume,Part,Page,Date,Author,Title,Imprint,Quotation,Headnote
part1_p100_a1,Vol.1,Part I,p100,1567.,"Drant, Tho[mas].","[Address] To the Reader, [prefixed to] Horace his Arte of Poetrie, pistles and Satyrs Englished.... by Tho. Drant,",sign. *v b and *vi.,".... For good thyngs are hard, and euyl things are easye.
But if the settyng out of the wanton tricks of a payre of louers,
(as for example let them be cawled Sir Chaunticleare and
Dame Partilote) to tell you how their firste combination of
loue began.... is easye to be vnderstanded and easye to be
indyted... If onely these be poesis, or be poesis, [sic] or
haue any comparison to a learned making of poesy:
Principio me illorum dederis quibus esse poetas
Excerpam numero:
I take them to be ripe toungued tryfles; venemouse Allectyues,
and sweete vanityes.",
part1_p100_a2,Vol.1,Part I,p100,1567.,H. M.,Prefatory verse,"[to] Certaine Tragicall Discourses... by Geffraie Fenton.. 1567, sign. *viii. (Ed. R. L. Douglas, Tudor Trans. Series, 1898, p. 13.)","Floruit antiquo Galfridus tempore Chaucer
Scripsit & eximio permagna volumina versu
Et multi viguere viri, quos vnica virtus,
Nefandos facile effecit tolerare labores.
Vixerunt: & sola manet, nunc fama Sepultis
At tua nunc primum, (Galfride) virescere virtus
Incipit, & teneras cum spe producere plautas.",
part1_p100_a3,Vol.1,Part I,p100,[1567-1879?],"Harvey, Gabriel.",Marginal notes in Quintilian.,"See below, App. A.",,
part1_p100_a4,Vol.1,Part I,p100,1567.,"Stowe, John.","Epistle Dedicatory [to the Lord Mayor and Aldermen] [prefixed to] The Summarie of Englishe Chronicles [abridged],","1567, sign. a iiib. (Stow’s Survey of London, ed. C. L. Kingsford, 1908, vol. i, pp. lxxvii-viii.)","[If my book be appreciated] and fruitefullye used to the
amendemente of suche grosse erroures [as are to be found in
Richard Grafton's books] I shall be encouraged to perfecte that
labour that I haue begon, and such worthye workes of auncyent
Aucthours that I haue wyth greate peynes gathered together,
and partly performed in M. Chaucer and other...",
part1_p100_a5,Vol.1,Part I,p100,[1567-8?],"Howell, Thomas.","Newe Sonets, and pretie Pamphlets.","[Unique copy in the Capell collection, Trin. Coll., Camb.] The britlenesse of thinges mortall, and the trustinesse of Vertue, sign. B iij and b. (Howell’s poems, in Occasional issues of unique or very rare books, ed. A. B. Grosart, 1879, vol. viii, pp. 121-2.)",,"[These verses on the moral to be drawn from the story of Troilus and Cressida most probably refer to Chaucer's version of the poem. Cf. also the reference in Howell's Devises, 1581, below, p. 120. Howell owed a good deal to Chaucer; see on this point Sir Walter Raleigh’s introduction to Howell’s Devises, 1906, pp. xi-xiv.]"
part1_p101_a1,Vol.1,Part I,p101,1567-8.,"Keeper, John.","Prefatory Verse to Newe Sonets, and pretie Pamphlets,","by Thomas Howell, sign. A iv. [See last entry.] (Howell’s poems, in Occasional issues of unique or very rare books, ed. A. B. Grosart, 1879, vol. viii, p. 115.)","Ioannes Keper Oxon, ad tho Howell.
Aurea melliflui voluuntur scripta Govveri,
Chaucer; florent acta diserta senis,
Sic quoque, Chauterida similis captobis honores,
Pergere si vigilans vt modo pergis aues,
Vt bene capisti, nullos male linque labores,
Gloria sudore est, desidiaque dolor.
Finis.","[The misprints in this are in the original, as given by Grosart.]"
part1_p101_a2,Vol.1,Part I,p101,1568.,"[Caius, John, M.D.].","De Antiquitate Cantabrigiensis Academiœ,","libri duo, London, 1568 [published anonymously, the author being described as ‘Londinensis.’ Republished, in 1574, after Caius’s death, with his name on the title page. The references are on pp. 40, 41 of this edition, the only one in the B. M.]. (The works of John Caius, M.D., Cambridge University Press, 1912, pp. 34, 35.)","Nam ut hic res uniuersas suo complexu contineat, ita hæc
[p. 40]
uniuersarum scientiarum cognitionem & professionem habeat.
Consentit & Hoccleueus, clarissimi Chauceri & Goweri
discipulus, in epitome chronicon manuscripta, quam addidit
libro quem de regimine principum scripsit ad Henricum
sextum:
. . . . . . . . . . .
[p.41] Sed quia fusior hic Boulus est, proniorquè in rem con¬
trouersam de antiquitate Cantebrigiensis Academiæ...
visum est Ioannis Lydgati (Galfredi Chauceri, nobilissimi
olim Poetæ discipuli, omnium poetarum sui temporis in
Anglia facilè principis, sicut Baleus scribit etsi tu damnes,
ut vanum ut & alios omnes qui a te non stant) proferre
testimonium, opus iam ante annos multos Anglico metro
formulis excusum, omniquè populo diuulgatum.","[See below, p. 104, Thomas Caius, 1570.]"
part1_p101_a3,Vol.1,Part I,p101-102,1568.,"Charteris, Henry.","Vnto the godlie and christiane reidar, Henrie Charteris wischis grace... [prefixed tol The warkis of the famous and vorthie Knicht Schir Dauid Lyndesay . .","Newlie Imprentit be IOHNE Scor at the expensis of Henrie Charteris.... MDLXVIII, [fol. 3, no signatures.] Two copies of this edn. are known, one at Britwell, and one in Lord Mostyn’s library. (The poetical works of Sir D. Lyndsay, ed. D. Laing, 1879, vol. iii, p. 232; also D. Lyndesay’s Works, part v, the minor poems, ed. J. A. H. Murray, E. E. T. soc., 1871, p. 5.)","[Charteris descante on the Clergy's dislike of Lindsay] How
cummis it than, that this our Authour being sa plane aganis
thame, and as it war professit enemie to thame, culd eschaip
thair snairis, quhen vtheris in doing les hes cruellie perischit?
Sum will think because his wryting was commounlie mixit
with mowis and collourit with craftie consaitis (as Chaucer
and vtheris had done befoir) the matter was the mair mitigate.","[This reference is at sign. A 8 in The Warkis of the Famovs and Worthie Knicht, Sir Dauid Lyndesay... Imprentit at Edinburgh, be Henrie Charteris, anno MD lxxxxii.]"
part1_p102_a1,Vol.1,Part I,p102,1568.,"Churchyard, Thomas.","Verses, [prefixed to] Pithy pleasaunt and profitable Workes of maister Skelton, Poete Laureate.","Nowe collected and newly published. Anno 1568, sign. *A iij. (Poetical works of J. Skelton, ed. A. Dyce, 1843, vol. i, p. lxxviii.)","... Peers plowman was full plaine,
And Chauser's spreet was great
Earle Surry had a goodly vayne:
Lord Vaus the marke did beat.",
part1_p102_a2,Vol.1,Part I,p102,1568.,"Keeper, John.","Prefatory Verses to the Arbor of Amitie,","by Thomas Howell. (Unique copy in the Bodleian library, sign. A v b. Howell’s poems, in Occasional issues of unique or very rare books, ed. A. B. Grosart, 1879, vol. viii, p. 12. See British Bibliographer, ed. Sir S. E. Brydges, 1810, vol. i, p. 106.)","Which wise Minerue in lap hath nurst,
and gaue him [Howell] suck so sweete,
Whom I doe iudge, Apolloes Impe,
and eke our Chaucers peare:
What senselesse head of malice mad,
will seeke such branch to teare.",
