ID,Volume,Part,Page,Date,Author,Title,Imprint,Quotation,Headnotes
part3_p107_a1,Vol.2,part III,p107,1870.,"Brae, Andrew Edmund.","The Treatise of the Astrolabe of Geoffrey Chaucer,","edited by A. E. Brae, with notes and illustrations.","[The volume contains seven illustrations of Chaucer's Astro¬
labe, with a text of his treatise, an Appendix reprinting
essays on the astronomy of the Canterbury Tales; and a
series of notes on Chaucer’s astronomy.]",
part3_p107_a2,Vol.2,part III,p107-108,1870.,"Courthope, William John.","The Paradise of Birds,","pp. 9, 122-3.","[Man has exterminated all the feathered tribes, and the
insect is becoming the lord of creation. Maresnest, the
scientific theorist, and Windbag, the romantic poet, come to
the Paradise of Birds to beg two eggs of every species. They
are tried by a jury of birds, and plead the ""kindliness of
men to birds,"" giving as examples Aristophanes, Chaucer,
Gilbert White, etc.]
[p. 9] The Bird has thoughts like Man, but while he lives,
Each to one feeling various utterance gives,
Even in this life the grammar of the tree
Was by our Chaucer learned, and Canace.
[p. 122] If Man’s good work may cancel Man’s ill deed,
For us let English Chaucer intercede.
Think with what rhymes, what measures old and quaint,
He sings your love-day, and exalts your saint!
[p. 123] Think how he rose from bed betimes in spring,
To hear the Nightingale and Cuckoo sing!
NIGHTINGALE
O flower of the prime! O fountain of rhyme!
O lover of daisies! O poet of May!
Thy boon and my debt if I ever forget,
Let my heart have forgotten her lay.
Thou did drive from my view ""the lewd Cuckoo"";
And I was thy singer that whole May long,*
Time since has grown grey, but I love thee to-day,
And I solace my soul with thy song.
[The illustrated edition of 1889 has a picture of Chaucer in
the woods.]
* The Cuckoo and the Nightingale, ll. 226-30.",
part3_p108_a1,Vol.2,part III,p108-111,1870.,"Lowell, James Russell.","Chaucer,","[in] the North American Review, July 1870, vol. cxi, pp. 155-198. [Reprinted, revised and enlarged, in My Study Windows, 1871.] (Riverside edition of Works, 10 vols., 1890-91, vol. iii, pp. 290-366.)","[p. 293] It is good to retreat now and then beyond earshot of
the introspective confidences of modern literature, and to lose
ourselves in the gracious worldliness of Chaucer. Here was
a healthy and hearty man, so genuine that he need not ask
whether he were genuine or no, so sincere as quite to forget
his own sincerity, so truly pious that he could be happy in
the best world that God chose to make, so humane that he
loved even the foibles of his kind. Here was a truly epic
poet, without knowing it, who did not waste time in consider¬
ing whether his age were good or bad, but quietly taking it for
granted as the best that ever was or ever could be for him,
has left us such a picture of contemporary life as no man ever
painted. †A perpetual fountain of good sense,' Dryden calls
him, yes, and of good humor, too, and wholesome thought.†
[p. 300] It is not the finding of a thing, but the making something
out of it after it is found, that is of consequence. Accord¬
ingly, Chaucer, like Shakespeare, invented almost nothing.
[p. 322] †Chaucer ... drew from the South a certain airiness of
sentiment and expression, a felicity of phrase, and an elegance
of turn hitherto unprecedented and hardly yet matched in
our literature, but all the while kept firm hold of his native
soundness of understanding, and that genial humour which
seems to be the proper element of worldly wisdom. With
[p. 323] Dante, life represented the passage of the soul from a state
of nature to a state of grace; ... With Chaucer, life is a
pilgrimage, but only that his eye may be delighted with the
varieties of costume and character. There are good morals
to be found in Chaucer, but they are always incidental.
With Dante the main question is the saving of the soul, with
Chaucer it is the conduct of life.†
[p. 324-5] Chaucer is the first who broke away from the dreary
traditional style, and gave not merely stories, but lively
pictures of real life as the ever-renewed substance of poetry.
He was a reformer, too, not only in literature, but in morals.
But as in the former his exquisite tact saved him from all
eccentricity, so in the latter the pervading sweetness of his
nature could never be betrayed into harshness and invective.
... There is no touch of cynicism in all he wrote.
Dante's brush seems sometimes to have been smeared with
the burning pitch of his own fiery lake. Chaucer's pencil is
dipped in the cheerful colour-box of the old illuminators, and
he has their patient delicacy of touch, with a freedom far
beyond their somewhat mechanic brilliancy.
[p. 336] One of the world’s three or four great story tellers, he was
also one of the best versifiers that ever made English trip and
sing with a gayety that seems careless, but where every foot
beats time to the tune of the thought. By the skilful arrange¬
ment of his pauses he evaded the monotony of the couplet,
and gave to the rhymed pentameter, which he made our
heroic measure, something of the architectural repose of
blank verse. He found our language lumpish, stiff, unwilling,
too apt to speak Saxonly in grouty monosyllables; he left it
enriched with the longer measure of the Italian and Provençal
[p. 353] [Chaucer is a great narrative poet.] The power of diffusion
poets.
without being diffuse would seem to be the highest merit of
narration, giving it that easy flow which is so delightful.
Chaucer’s descriptive style is remarkable for its lowness of
tone—for that combination of energy with simplicity which
is among the rarest gifts in literature. ...
Not that Chaucer cannot be intense, too, on occasion; but
it is with a quiet intensity of his own, that comes in as it
were by accident. ...
Pandarus, looking at Troïlus,
'Took up a light and found his countenance
As for to look upon an old romance.'
With Chaucer it is always the thing itself and not the
description of it that is the main object. His picturesque bits
are incidental to the story, glimpsed in passing; they never
stop the way. His key is so low that his high lights are never
obtrusive.
[p. 356] Chaucer never shows any signs of effort, and it is a main
proof of his excellence that he can be so inadequately sampled
by detached passages—by single lines taken away from the
connection in which they contribute to the general effect.
He has that continuity of thought, that evenly prolonged
power, and that delightful equanimity, which characterize
the higher orders of mind. There is something in him of the
disinterestedness that made the Greeks masters in art. His
[p. 357] phrase is never importunate. His simplicity is that of
elegance, not of poverty. The quiet unconcern with which he
says his best things is peculiar to him among English poets,
though Goldsmith, Addison, and Thackeray have approached
it in prose.
When Chaucer describes anything, it is commonly by one
of those simple and obvious epithets or qualities that are so
easy to miss. Is it a woman? He tells us she is fresh, that
she has glad eyes. ... Sometimes he describes amply by the
merest hint, as where the Friar, before setting himself softly
down, drives away the cat. We know without need of more
words that he has chosen the snuggest corner.
[p. 360] Chaucer seems to me to have been one of the most purely
[p. 361] original of poets, as much so in respect of the world that is
about us as Dante in respect of that which is within us.
There had been nothing like him before, there has been
nothing since. He is original, not in the sense that he thinks
and says what nobody ever thought and said before, and what
nobody can ever think and say again, but because he is always
natural; because, if not always absolutely new, he is always
delightfully fresh, because he sets before us the world as it
honestly appeared to Geoffrey Chaucer, and not a world as it
seemed proper to certain people that it ought to appear.
[p. 365] In spite of some external stains, which those who have
studied the influence of manners will easily account for
without imputing them to any moral depravity, we feel that
we can join the pure-minded Spenser in calling him 'most
sacred, happy spirit.' If character may be divined from
works, he was a good man, genial, sincere, hearty, temperate
of mind, more wise, perhaps, for this world than the next, but
thoroughly humane, and friendly with God and men. I know
not how to sum up what we feel about him better than by
saying (what would have pleased most one who was indifferent
to fame) that we love him more even than we admire.",[Passages between †† did not appear in the North American Review.]
part3_p10_a1,Vol.2,part III,p10,1852-3.,"N., F. M.","Letters,","[in] The Gentleman’s Magazine, Sept. 1852, Jan., Feb., March, 1853, new series, vol. xxxviii, pp. 274-5, vol. xxxix, pp. 52-4, 169-70, 276-7.","[On English etymology, with many examples from Chaucer.]",
part3_p111_a1,Vol.2,part III,p111-112,1871.,"Brooke, Stopford Augustus.","The Descriptive Poetry of Chaucer,","[in] Macmillan’s Magazine, Aug. 1871, vol. xxiv, pp. 268-79.","[p. 269] The landscape of Chaucer is sometimes taken from the
Italian and sometimes from the French landscape. It possesses
almost always the same elements, differently mixed up in
different poems: a May morning—the greenwood, or a
garden—some clear running water—meadows covered with
flowers—some delectable place or other with an arbour laid
down with soft and fresh-cut turf. There is no sky, except in
such rapid allusions as this, ""Bright was the day and blue the
firmament;"" no cloud studies; no conception of the beauty of
wild nature.
His range, therefore, is extremely limited; but within the
limits his landscape is exquisitely fresh, natural, and true in
spite of its being conventional.
[p. 272] [Chaucer's love of colour.] But of all the colours which
Chaucer loved in nature, he loved best the harmony of white
and green in one of his favourite daisied meadows. ...
It may be in an age when colours in art had each their
peculiar religious significance, that Chaucer, a man who had
travelled in Italy and who had himself the instinct of sym¬
[p. 273] bolism, had some spiritual meaning in the constant association
of these two colours of white and green. Green, the hue of
spring, signified hope, and particularly the hope of Immor¬
tality; white was the emblem, among other things, of light
and joy. ...
Still dwelling on Chaucer's colour, it is curious the number
of concentrated pictures which are to be found in his
poems, pictures so sharply drawn in colour that they might
be at once painted from the description. He looks in and
the arbour is full of scarlet flowers, and down among them,
sore wounded, ""a man in black and white colour, pale and
wan,"" is lying, bitterly complaining. Scarlet, black, white,
one sees that, ""flashing upon the inward eye,"" not in outline,
nor in detail, but in colour, and that is the test whether a poet
is a good colourist or not. It is no common excellence. ...
There is a splendid study of colour, unequalled in its way
in our literature, in Chaucer's picture of the cock in the
""Nun’s Priests Tale."" The widow keeps in her yard a famous
stock of poultry,
""In which she had a cock, hight Chaunticlere [to]
And lik the burnischt gold was his colour.""
[p. 274] This simple childlikeness and intensity of Chaucer ...
are the first necessity of a poetic nature, ... This is the first
of those elements of his poetry which make his landscapes
impossible to be painted.
Of two other unpaintable things the landscape is also full—
of the scent of flowers, and the songs of birds, and now and
then of the noise of water.",
part3_p112_a1,Vol.2,part III,p112-113,1871-2.,"Eliot, George.","Chapter headings, [in] Middlemarch,","1871-2, 4 vols.","Chap. xii, vol. i, p. 180 [Milleres Tale, ll. 3774-5]; chap. xxi,
vol. i, p. 369 [Phicisiens Tale, Il. 50-52]; chap. 1, vol. iii, p.
108 [Shipmannes Prol., Il. 15-20]; chap. Ixv, vol. iv, p. 49
[Wife of Bath’s Prol., Il. 440-442].",
part3_p113_a1,Vol.2,part III,p113,1871-3.,"Furnivall, Frederick James.","Trial-Forewords to my ""Parallel- Text Edition of Chaucer's Minor Poems,"" for the Chaucer Society","(with a try to set Chaucer's works in their right order of time, 1871).—Corrections and Additions, 1872.—Further Corrections and Additions, 1873. (Chaucer Society.)",,
part3_p113_a2,Vol.2,part III,p113-114,1873.,"Furnivall, Frederick James.","Recent Work at Chaucer,","[in] Macmillan’s Magazine, March, 1873, vol. xxvii, pp. 383-93.","[p. 383] Taking it ... for granted that the study of Early English
has revived and is spreading, though miserably slowly, in
England and elsewhere, let us ask what that study has done for
Chaucer, that tenderest, brightest, most humourful sweet soul,
of all the great poets of the world, whom a thousand Englishmen
out of every thousand and one are content to pass by with a
shrug and a sneer.
[pp.383- [The gradual settling of the Chaucer canon which had been
7]
confused by Stowe and other early editors. Tyrwhitt’s con¬
tribution to this. Nicolas and the biographical facts.
Bradshaw's and ten Brink's work on the text; the rhyme¬
tests. The French and Italian periods first distinguished by
ten Brink.]
[p. 387] [The Compleynte to Pite the key to Chaucer's early sad
poetry, telling of his own unhappy love.]
[pp.388- [A suggested chronological list of the works in four periods,
9]
and an order of dates for the Canterbury Tales ""not yet quite
fully worked out. Thus far had one got when Mr. Hales
supplied the generalization wanted— 'Power of characterization
is the true test. ... The Tales too that take half-views of
life, like the Clerk’s ... the Man of Law's ... must be
before the best time too.'""
[p. 389] With this guide every reader can work out the succession
of the Tales for himself, and mix them with the Minor Poems
as ranged above. He will then see Chaucer, not only out¬
wardly as he was in the flesh—page, soldier, squire,
diplomatist, Custom-house officer, Member of Parliament, then
a suppliant for protection and favour, a beggar for money;
but inwardly as he was in the spirit—clear of all nonsense of
Courts of Love, etc.—gentle and loving, early timid and in
despair, sharing others' sorrow, and, by comforting them,
losing part of his own; yet long dwelling on the sadness of
forsaken love, seeking the ""consolation of philosophy,""
watching the stars, praying to the “Mother of God""; studying
books, and, more still, woman's nature; his eye open to all
the beauties of the world around him, his ear to the ""heavenly
harmony"" of birds' song; at length becoming the most
gracious and tender spirit, the sweetest singer, the best
pourtrayer, the most pathetic, and withal the most genial
and humourful healthy-souled man that England had ever
seen. Still, after 500 years, he is bright and fresh as the
glad light green of the May he so much loved; he is still
second only to Shakespeare in England, and fourth only to
him and Dante and Homer in the world. When will our
Victorian time love and honour him as it should? Surely, of
all our poets he is the one to come home to us most.
[p. 389]
[pp. 389
[Contrast between Chaucer and Tennyson.]
-90]
[The change in Chaucer marked by the development of
[pp. 390
humour.]
-3]
[The work of the Chaucer Society; the Six-text Edition; a
comparison of the MSS. made the Tales fall into their proper
places in the pilgrimage, and prepared the way for a real
edition. The Society’s other texts and studies. An appeal
for support.]
[Dr. Furnivall’s copy of his article with important additions
and alterations, is in the possession of the editor. One of
Dr. Furnivall’s additions reads thus:]
One may fairly claim then, for the Chaucer Society the
credit of having, with Mr. Bradshaw’s and Prof. ten Brink's
help, done the best work at and for Chaucer that has been
done since his death. It has explained the secret of his early
life, cleared his memory from the reproach of having written
many unworthinesses, and of having muddled his greatest
work; it has laid the sure founda tions for a fitting edition of
one of the greatest poets of mankind, and has made plainer to
modern English ears the music, to modern English eyes the
sunny soul, that cheered our ancestors in Wicliffe's day.",
part3_p115_a1,Vol.2,part III,p115-116,1873.,"Hales, John Wesley.","Chaucer and Shakespeare,","[in] the Quarterly Review, Jan. 1873, vol. cxxxiv, pp. 225-255. (Reprinted in Notes and Essays on Shakespeare, by John W. Hales, 1884, pp. 56-104.)","[p. 226] [An account of the Chaucer Society and the work of
Furnivall.]
[p. 227] Chaucer and Shakespeare have much in common. How¬
ever diverse the form of their greatest works, yet in spirit
there is a remarkable likeness and sympathy. Their geniuses
differ rather in degree than in kind. Chaucer is in many
respects a lesser Shakespeare. [Immaturity of the drama
as a literary form in Chaucer's day] ... Chaucer stands in
relation to the supreme Dramatic Age in a correspondent
position to that held by Scott. Chaucer lived in the morning
twilight of it, Scott in the evening. There can be little
doubt that both would have added to its lustre—that England
would have boasted one more, and Scotland at least one
great dramatist had they been born earlier and later
respectively. ...
[p. 230] Probably it was these piteous, but seemingly not inevi¬
table or reproachless, distresses [embarrassments due to
attachment to a court party] that impeded the completion
of the ""Canterbury Tales."" The original design, indeed,
is in itself too vast for realisation. Chaucer commits the
same error in this respect as Spenser does.
[p. 231] We have said that his genius exhibits a remarkable affinity
to that of Shakespeare—a closer affinity, we think, than that
of any other English poet. To Chaucer belongs in a high
measure what marks Shakespeare supremely—a certain
indefinable grace and brightness of style, an incomparable
archness and vivacity, an incessant elasticity and freshness,
an indescribable ease, a never faltering variety, an incapability
of dulness. ...
For skill in characterization who can be ranked between
Chaucer and Shakespeare? Is there any work, except the
'theatre' of Shakespeare, that attempts, with a success
in any way comparable, the astonishing task which Chaucer
sets himself? He attempts to portray the entire society
of his age from the crown of its head to the sole of its foot—
from the knight, the topmost figure of mediæval life, down
to the ploughman and the cook; and the result is a gallery
of life-like portraits, which has no parallel anywhere, with
one exception, for variety, truthfulness, humanity. [This
is elaborated.] ...
[p. 232] We ask, who among our poets, except Shakespeare, shall
be placed above Chaucer in this domain of art? In our
opinion there is not one of the Elizabethans that deserves
that honour. ...
[p. 234] [Chaucer’s pathos contrasted with Sterne’s and Shake¬
speare’s.]
[pp. 236-7] [Chaucer’s irony.]
[p. 237] It is because his spirit enjoyed and retained this lofty
freedom that it was so tolerant and capacious. He, like
Shakespeare, was eminently a Human Catholic, no mere
sectary. He refused to no man an acknowledgment of
[pp. 238- There is just one point of personal likeness between Chaucer
kindred. ...
9]
and Shakespeare that we wish to notice. Of each man, as
his contemporaries knew him, the chief characteristic was
a wonderful loveableness of Nature. [Quotations from
Jonson, Occleve, Lydgate, &c. on this point.]
[pp. 240- [On Shakespeare’s probable knowledge of Chaucer’s work,
2]
a subject not yet sufficiently investigated; with remarks
on Chaucer’s fame and accessibility in Shakespeare’s time.
The Two Noble Kinsmen considered, and the reason for no
mention of him in Richard II and Henry IV thought to be
that he would, as a poet, have seemed out of place in an
historical setting. Shakspere’s acquaintance with the
Knight’s Tale and Troylus to be seen in Midsummer-Night's
Dream, Two Noble Kinsmen, Venus and Adonis, Tarquin and
Lucrece, Troilus and Cressida, Romeo and Juliet; while in
As You Like It is seen knowledge of Gamelyn. Parallel
passages are quoted, and the subject is further discussed.]",
part3_p116_a1,Vol.2,part III,p116-117,1873.,"Rossetti, William Michael.","Chaucer's Troylus and Cryseyde compared with Boccaccio's Filostrato,","Prefatory Remarks, pp. iii-ix. (Chaucer Soc.).","[pp. iii, The most important point of absolute difference between
iv]
the Italian and the English poets—the most important
both in subject-matter and in scale of treatment—is in the
incidents which lead up to the actual amour between Troilus
and Chryseis. ... Chaucer has invented an entirely new series
of preliminaries; far more elaborate, and such as almost
to leave his Cryseyde in the position of a modest and chaste¬
minded woman, even after the amour is in full career. ...
The English poet neither schemes nor affects (if I do not
misapprehend) to invent an essentially different character:
but he leads up to the crisis by a more artful and more
sympathetic course of incident. ...
[A study of the two Pandaruses, the sources, etc., follows.]",
