ID,Volume,Part,Page,Date,Date_cleaned,Date_certainty,Author,Author_certainty,Author_Wkdt,sex or gender,VIAF cluster ID,Title,Imprint,Quotation,Headnote,Index_category,language
part4_p100_a1,Vol.3,Part IV,p100,1794.,1794,high,"[Mathias, Thomas James.]",medium,Thomas James Mathias,male,44371590,"The Pursuits of Literature,",pp. 28-9 n.,['Gibbe our cat.'],"[For other references in the Pursuits of Literature, see above, 1794, pt. i, p. 495, and below, 1797 and 1800.]",,en
part4_p100_a2,Vol.3,Part IV,p100,1794.,1794,high,"P., B.",low,Unknown,,,"Local Expression,","[in] The Gentleman's Magazine, Feb., vol. lxiv, p. 110.",['Nesh.'],,,en
part4_p100_a3,Vol.3,Part IV,p100,1794.,1794,high,"Tooke, John Horne.",high,John Horne Tooke,male,290080297,,"[When in the Tower Tooke had a Chaucer, which he used for notes and minutes. The copy afterwards belonged to Samuel Rogers. See Crabb Robinson’s Diary, 1840, ed. 1869, vol. iii, p. 187.]",,,,N/A
part4_p100_a4,Vol.3,Part IV,p100,1794.,1794,high,Unknown.,low,Unknown,,,"Gualtherus and Griselda,","[modernised version of part of the Clerkes Tale, in] Angelica’s Ladies' Library, pp. 73-104.",,,"modernizations,particular,anonymous/works,canterburyTales,clerkTale",N/A
part4_p100_a5,Vol.3,Part IV,p100,1795.,1795,high,"Z., K.; Unknown; and Sciolus.",high,"Z., K.; Unknown; and Sciolus.",male,,"Articles, etc.,","[in] The Gentle man's Magazine, April, June, Sept., vol. lxv, pp. 282, 495, 728.","[Brief reference; Review of Lipscomb’s Canterbury Tales;
the marriage service in Chaucer.]",,,en
part4_p100_a6,Vol.3,Part IV,p100-101,1795.,1795,high,"Southey, Robert.",high,Robert Southey,male,61576896,"Dunnington-Castle,","a sonnet, [in] Poems: by Robert Lovell and Robert Southey, Bath, p. 61.","Thou ruin'd relique of the ancient pile,
Rear'd by that hoary bard, whose tuneful lyre
First breath’d the voice of music on our isle;
Where, warn’d in life's calm evening to retire,
Old Chaucer slowly sunk at last to night,
Still shall his forceful line, his varied strain,
A firmer, nobler monument remain,
When the high grass waves o’er thy lovely site;
And yet the cankering tooth of envious age
Has sapp'd the fabric of his lofty rhyme;
Though genius still shall ponder o’er the page,
And piercing through the shadowy mist of time,
The festive Bard of Edward’s court recall,
As fancy paints the pomp that once adorn’d thy wall.",,,en
part4_p101_a1,Vol.3,Part IV,p101,[1796?],[1796?],low,"Southey, Robert.",high,Robert Southey,male,61576896,"Essay on the Poetry of Spain and Portugal,","[in] Letters written... in Spain and Portugal, Bristol, 1797, pp. 121, 122.","Chaucer frequently spared himself the trouble of invention,
and adopted the allegories of the Provençal school, and the
licentious humour or the dignified romance of Boccaccio.",,,en
part4_p101_a2,Vol.3,Part IV,p101,1796.,1796,high,Unknown.,low,Unknown,,,"Review of Poems by Minot,","[in] The Gentleman's Magazine, Jan., vol. lxvi, p. 49.",[Tyrwhitt’s discovery of Minot.],,,en
part4_p101_a3,Vol.3,Part IV,p101,1797.,1797,high,"J., J. H.",low,Unknown,,,"Letter on Donnington Castle,","[with a plate, in] The Gentleman’s Magazine, March, vol. lxvii, p. 185.",,,,N/A
part4_p101_a4,Vol.3,Part IV,p101,1797.,1797,high,"[Mathias, Thomas James.]",medium,Thomas James Mathias,male,44371590,"The Pursuits of Literature,","pt. iv, p. 48 n.","What old Chaucer says of poetry,
Tis every dele
A rock of ice and not of steel.","[See also above, 1794, pt. i, p. 495, and App. A, 1794, and below, 1800.]",,en
