ID,Volume,Part,Page,Date,Date_cleaned,Date_certainty,Author,Author_certainty,Author_Wkdt,Author_gender,Author_Viaf,Title,Imprint,Quotation,Headnotes,Index_category,Language
part5_p101_a2,Vol.3,part V,p101-102,1895.,1895,high,"Demogeot, Jacques Claude.",high,Jacques Claude Demogeot,male,162563,Histoire des littératures étrangères.,"Littératures septentrionales, Angleterre, Allemagne, 2e édn., Paris, 1895, pp. 3-13, 24. [The first edn. appeared in 1880, and is identical.]","[p. 3] Chaucer, que les Anglais considèrent comme le père de
leur poésie, n’est encore qu’un des échos de la poésie
universelle du moyen âge : c’est le frère puiné de nos
trouvères ; c’est un poète français et italien qui écrit en
anglais. . . .
[p. 6] Deux choses toutefois distinguaient déjà les premiers
poèmes de Chaucer : d’abord un sentiment vif et personnel
du monde réel . . . Ses descriptions de la nature sont aussi
fraîches que leur modèle. . . .
[p. 7] Un autre trait distinctif qui perçait déjà dans les composi¬
[p. 8] tions de la jeunesse de Chaucer, c’est un enjouement mali¬
cieux, une douce satire ; qui assaisonne d’un sel agréable les
longues descriptions et les solennelles allégories. Dans son
Troïlus, par exemple, poème antique par le sujet, grave et
touchant par les incidents et les passions des personnages,
on entrevoit sans cesse, comme chez Pulci, comme chez
l’Arioste, comme dans nos fabliaux, le sourire du narrateur
qui s’amuse et prétend bien amuser les autres. . . .
[Les Contes de Cantorbéry est] l’ouvrage qui seul assure à
Geoffroy Chaucer une renommée durable . . . c’est là seule¬
ment qu’il se révèle dans toute la force de son talent,
affranchi du goût factice de ses protecteurs et de ses con¬
temporains . . . il ose être tout à fait lui-même, donner libre
carrière à son humour, peindre ce qu’il a vu, dire ce qu’il a
pensé, et composer ainsi l’un des plus charmants tableaux de
genre qui aient jamais été faits.",,"works,canterburyTales,criticism",fr
part5_p102_a1,Vol.3,part V,p102-104,1895.,1895,high,"Morel, Léon.",high,Léon Morel,male,263370672,"[Short study on the work of Chaucer in] James Thomson, sa vie et ses œuvres,","2me partie, pp. 214-19.","[The author briefly recalls what importance the love of
nature has had in the history of English literature.]. . .
[p. 213] Pour savoir quel rôle a joué le monde des choses dans la
littérature anglaise, nous consulterons donc seulement les
plus grands parmi les maîtres. . . .
[p. 214] Geoffrey Chaucer.—Le sentiment de la nature se montre,
très vif et très précis, chez le plus vieux des grands poètes de
l’Angleterre, chez ce Chaucer dont l’œuvre clôt une longue
période littéraire et ouvre l’ère moderne de la poésie. . . .
[p. 215] Le mème don de sympathie vibrante et de précision dans
. . . . . . . . . . .
l’observation, qui lui permet de comprendre les hommes au
milieu desquels il vit et de les faire passer dans ses poèmes
si vivement crayonnés, si vrais et si vivants, le même don
Chaucer l’applique à l’observation de la nature. . . .
Ce qu’il a surtout au cœur. . . . c’est l’amour des choses
de la campagne. Il en retrace avec complaisance les aspects,
même les plus simples et les plus ordinaires. Son œuvre est
remplie des êtres, des formes, des sons et des parfums de la
nature rustique. Les pèlerins des 'Récits de Cantorbéry'
cheminent vraiment sur une route anglaise, au milieu des
champs et des plaines, à travers les villages et les bourgs de
la vieille Angleterre. Tout le poème est baigné de grand air
et de lumière, et partout la nature fait un chaud et solide
fond de tableau à la cavalcade bigarrée. C’est un des
caractères par lesquels le poème se sépare le plus profondé¬
ment de son modèle italien. Tandis que les égoïstes causeurs
du 'Décaméron' sont, par le poète aussi bien que par leur
propre décision, isolés du reste du monde, tandis qu’ils ne
vivent qu’une existence toute mentale, les personnages de
Chaucer doivent en partie leur relief et leur vérité drama¬
[p. 216] tique au contact toujours senti de la nature ambiante. . . .
Qu’on se rappelle, entre mille traits analogues, cette brève
notation d’une aurore :
'L'alouette affairée, messagère du jour,—salue de sa
chanson le gris matin,—et l’ardent Phébus s’élève si
radieux—que tout l’orient rit à sa vue,— et de ses rayons il
sèche, dans les bosquets toutes les gouttes argentées des
feuilles.'
[p. 217] . . . Il y a manifestement là, dans la minutie de l’observa¬
tion et dans la justesse de touche de la peinture, quelque
chose que le moyen âge n’avait pas connu, pas même dans
les vers gracieux, trop parés et trop spirituels, du rondeau
célèbre de Charles d’Orléans.
C’est cette précision aiguë de la vision qui sauve de la
monotonie les descriptions si fréquentes d’oiseaux, d’arbres
et de fleurs. Dans une forêt, Chaucer donne á chaque arbre
sa physionomie propre. . . . Il voit tous les détails des
objets, et en même temps il sympathise avec toutes les
manifestations de la vie des choses. Voyez ce que lui suggére
une averse de printemps :
[p. 218] 'Quand les douces ondées de la pluie tombent mollement,—
que le sol bien souvent—exhale de bienfaisantes vapeurs,—
et que chaque plaine se pare richement—d’une fraîche
verdure ; que les petites fleurs—éclosent çà et là dans les
champs et les prairies,—si bonnes et si bienfaisantes sont ces
ondées,—qu’elles renouvellent ce qui était vieux et mort—
pendant l’hiver ; et, de toutes les semences,—sortent les
plantes ; si bien que chacun—se sent, à la venue de la saison
nouvelle, tout joyeux et léger.'
Et cependant ces descriptions directes ne sont pas tout ce
que révèle chez Chaucer le sentiment de l’amour de la
nature. . . .
Tantôt c’est une comparaison prolongée comme celle de
Cressid avouant son amour :
'Tel le jeune rossignol timide qui s’arrête d’abord quand
il commençait à chanter' [etc. Troilus, bk. iii, 177-181]
Plus souvent encore, c’est une indication rapide telle que
celle qui complète la description du costume d’un jeune
écuyer : 'tout brodé, comme une prairie pleine de fraîches
[p. 219) Ainsi, la nature, directement sentie, et rappelée avec un
fleurs blanches et rouges.'
intarissable plaisir, figure partout dans l’œuvre du père de la
poésie anglaise. . . . C’est la nature aimable et riante, telle
qu’elle nous charme dans la jeune saison et dans les matinées
radieuses. . . . On pourrait appliquer au poète le vers
par lequel il résume le portrait du jeune seigneur : 'il avait
toute la fraîcheur du mois de mai.'",,"criticism,qualities,loveNature/works,canterburyTales,frameOrder",fr
part5_p104_a1,Vol.3,part V,p104,1896.,1896,high,"Bédier, Joseph.",high,Joseph Bédier,male,59078717,Histoire de la langue et de la littérature française ...,"publiée sous la direction de L. Petit de Julleville, tome ii, [Les Fabliaux], pp. 68, 77.",,,,N/A
part5_p104_a2,Vol.3,part V,p104,1896.,1896,high,"Langlois, Ernest.",high,Ernest Langlois,male,24603813,"Ibid.,","tome ii, [Le Roman de la Rose], p. 150.",,,,N/A
part5_p104_a3,Vol.3,part V,p104,1896.,1896,high,"Petit de Julleville, L.",high,Louis Petit de Julleville,male,27073648,"Ibid.,","tome ii, [Froissart], p. 347.",,,,N/A
part5_p104_a4,Vol.3,part V,p104,1896.,1896,high,"Brunot, Ferdinand.",high,Ferdinand Brunot,male,27149207,"Ibid., tome ii [la Langue française],","p. 526. Le poète Gower, après avoir commencé par écrire en français, se sert du latin, puis enfin de l’anglais, et l’immortel Chaucer, sans avoir des hésitations, l’adopte et le consacre à la fois par son génie.","p. 526.
Le poète Gower, après avoir commencé par écrire en
français, se sert du latin, puis enfin de l’anglais, et l’immortel
Chaucer, sans avoir des hésitations, l’adopte et le consacre à
la fois par son génie.",,,fr
part5_p104_a5,Vol.3,part V,p104,1896.,1896,high,"Legouis, Émile.",high,Émile Legouis,male,73916839,Quomodo Edmundus Spenserus ad Chaucerum se fingens in eclogis 'The Shepheardes Calender' versum heroicum renovarit ac refecerit,"[Thesis], Paris, 1896.",,,,N/A
part5_p104_a6,Vol.3,part V,p104-106,1896.,1896,high,"Jusserand, J. J.",high,Jean Jules Jusserand,male,19688131,"Histoire abrégée de la littérature anglaise,","Paris, 1896, pp. 44, 46-55 [on CHAUCER], 56, 57, 59, 62, 63, 65, 66, 67, 68, 71, 87, 97, 102, 104, 105, 106, 108, 112, 126, 148, 157, 195, 223, 262.","[p. 49] En outre, la personnalité propre de Chaucer commence à
paraître dans ces œuvres ['Lyf of Saint Cecile' 1373 : 'Com¬
plainte of Mars' 1380, prose translation of the 'De Consola¬
tione' of Boethius, 'Parliament of Foules,' 'Troilus,' 1382,
'Hous of Fame' 1383-4, 'The Legend of Good Women,']
sa bienveillance, son humour, sa sympathie indulgente pour
[p. 50] tout ce qui est humain, ses dons d’observation, l’art du
dialogue familier, la vivacité de repartie, le soin de la forme :
qualités que nous avions discernées à l’état embryonnaire
dans la race celtique et qui ont passé maintenant, grâce à la
fusion intervenue, dans la race anglaise.
Ces dons brillent surtout dans 'Troïlus et Cressida'
admirable poème, roman et drame à la fois, plein de tendresse
et en même temps d’ironie douce, où quelque reste des
mélancolies saxonnes s’allie à la gaieté française, où Boccace
(Filostrato) est imité et surpassé. . . .
. . . . . . . . . .
[p. 53] [Dans les contes de Canterbury] c’est toute l’Angleterre
qui nous est montrée, jeune, printanière, épanouie. Les
génies des deux races d’autrefois se sont fondus ; le génie
celtique et latin domine toutefois dans Chaucer. Nous le
trouvons optimiste et indulgent, n’inclinant nullement vers
le fatalisme et le désespoir. Il voit les vices d’un regard
clair et ne se fait pas d’illusion ; il tâche de les guérir ; s’il
ne peut, il s’en console, et s’il ne peut s’en consoler, il s’en
venge du moins par une épigramme. Ses épigrammes, il est
vrai, font plus que piquer, elles pénètrent : ce ne sont pas
de simples amusements ; à son esprit pétillant, à la française,
se mêle une forte dose d’humour anglais.
Il s’intéresse aux humbles et les aime ; si ce sont des
coquins, le pittoresque de leurs mœurs impures l’amuse ; s’ils
[p. 54] sont vertueux, ils lui inspirent une admiration attendrie
(portrait du bon curé). Les 'gens de rien' occupent déjà
dans son œuvre la place qu’ils devaient tenir dans tout la
littérature anglaise et dans l’histoire politique du pays. Il
voit d’une vue claire, il sent d’un cœur sensible. Il traduit
sa vision et son impression par le mot qui fait voir ou le
mot qui touche, avec une justesse inconnue jusque là dans
son pays. Il a un sens de la forme et de la mesure rare
avant la Renaissance ; il blâme les longueurs sans toujours
les éviter ; mais c’est déjà beaucoup de savoir que les
longueurs sont un défaut, et le mérite n’était pas banal
de son temps. Il versifie avec soin ; la place des mots ne
lui est pas indifférente, leurs sonorités le préoccupent. Il
a sur tous ces points des idées arrêtées, il n’écrit pas au
hasard ; il veut, il choisit ; bref, et pour la première fois
dans l’histoire des lettres anglaises, nous nous trouvons en
présence d’un artiste.
Avec cela, des moyens simples : nulle prétention ; il veut
et choisit, et cependant garde un air de facilité : son vocabu¬
laire est le vocabulaire de tout le monde, sa prosodie de
même ; ce sont cette prosodie et ce vocabulaire, ces vers
rimés où les accents marquent la cadence, cette langue où
surabondent les mots français, dont nous avons exposé plus
haut la formation. Il les prit tels qu’il les trouva, et il les
consacra par l’usage qu’il en fit. . . .",,"criticism,general,",fr
part5_p106_a1,Vol.3,part V,p106,1897.,1897,high,"Jusserand, J. J.",high,Jean Jules Jusserand,male,19688131,"Jacques Ier d’Écosse, fut-il poëte? Étude sur l’authenticité du 'Cahier du Roi',","pp. 1, 2, 3, 4, 5,7, 8, 9 note, 20-22.",,,,N/A
part5_p106_a2,Vol.3,part V,p106,1898.,1898,high,"Soult, Amélie (Mlle).",high,"Soult, Amélie (Mlle).",female,311266412,"Chaucer. Copie de la conférence anglaise par laquelle Mlle. A. Soult ... devait inaugurer, à la Sorbonne, le 1e décembre 1897, les conferences en langue anglaise de la Société de propagation des langues etrangères en France.",,,"[A short biography of Chaucer, followed by a study of the Canterbury Tales; in English.]",,N/A
