ID,Volume,Part,Page,Date,Date_cleaned,Date_certainty,Author,Author_certainty,Author_Wkdt,sex or gender,VIAF cluster ID,Title,Imprint,Quotation,Headnote,index_category,language
part5_p128_a1,Vol.3,Part V,p128,1574.,1574,high,"Gesner, Conrad.",high,Conrad Gessner,male,49226033,"Bibliotheca, instituta et collecta primum a Conrado Gesnero.","Zurich, 1574, p. 214, col. 2.","Galfridus Chaucerus Anglus, eques auratus, Boethium de
consolatione Philosophiæ transtulit in linguam Anglicam
poemate vario. Scripsit Trophæum Lombardicum lib. i.
De principum ruina. Emblemata moralia. Amatoria
carmina. De curia Veneris. Chryseida testamentum.
Chryseidæ querimoniam. Laudes bonarum mulierum.
Cleopatræ vitam. Vitam Thysbes Babylonicæ. Vitam
Didonis Carthaginensis. De Hypsipyle & Medea. Vitam
Lucretiæ Romanæ. De Ariadna Cretensi. De Philomela
Atheniensi. De Phyllide Thracensi. De Hypermestra
Aegyptia. Somnium Chauceri. Volucrum conglobationem.
Vrbanitatis florem. Misericordiæ sepulturam. De Augea
& Telepho. Choream Dominarum. De astrolabij ratione.
Querimoniam Nigri militis. Fœminarum encomion. Nar¬
rationes diuersorum. De Troilo &̀ Chryseida. De Cæyce
& Halcyone. In obitum Blanchiae ducissæ. Tragœdias,
item Comœdias multas, ac elegias poemataque varia. Claruit
anno Domini 1450.
[In the edition of 1583 this notice is precisely similar.]",,,la
part5_p128_a2,Vol.3,Part V,p128-129,1654.,1654,high,"Quenstedt, Joannes Andreas.",high,Johannes Andreas Quenstedt,male,47557438,Dialogus de Patrius Illustrium doctrina et scriptis virorum.,"Wittebergæ, 1654, pp. 84, 86.","In Oxoniensi agro est Woodstock oppidum, quod cum nihil
habeat, quod ostentet (verba sunt Gul. Camdeni in Britan.
p. 155) Homerum nostrum Anglicum Galfredum Chaucerum,
alumnum suum fuisse gloriatur. De quo & nostris Poëtis
Anglicis (pergit idem) illud verë asseram, quod de Homero
& Graecis ille Italus dixit:
— Hic ille est, cujus de gurgite sacro
Combibit arcanos Vatum omnis turba furores.
Ille enim extra omnem ingenii aleam positus, & Poëtastros
nostros longo post se intervallo relinquens,
– jam monte potitus,
Ridet anhelantem dura ad fastigia turbam.
Haec ille. Opuscula ejus varia recenset Conrad. Gesnerus
in Bibl.
[The passage is identical in the 2nd edition of 1691.]",,,la
part5_p129_a1,Vol.3,Part V,p129,1678.,1678,high,"König, G. M.",high,Georg Matthias König,male,40126317,"Bibliotheca vetus et nova,","Altdorfi, 1678, p. 186.","CHAUCERUS (Galfr.) Anglus, A. 1400. obiit. Vid. Ghilinus,
vol. 2. pag. 102. Quenst. pag. 84.","[For the Quenstedt reference see above, 1654. Ghilinus is Girolamo Ghilini, Teatro d’Huomini Letterati, Ven. 1647.]",,la
part5_p129_a2,Vol.3,Part V,p129,1682.,1682,high,"Morhof, D. G.",high,Daniel Georg Morhof,male,24746228,"Unterricht von der Teutschen Sprache and Poesie,","Kiel, 1682, p. 238.","Der Aelteste Englische Poet wird von dem Ubersetzer des
Rapini gesetzet Geoffry Chaucer, der im Jahr 1400 gelebet.
Selbiger ist mit unter den Chymischen Poeten, und findet
sich in dess Ashmols seinen Tractat ein Getichte [sic], dessen
Uberschrifft The Tale of the Chanons Yeoman; worinnen
er von dieser Kunst handelt. Sein Bildnusz und sein
Epitaphium, welches in der Kirchen zu Westmünster zu
finden, hat er dabey abmahlen lassen. Dieser gebraucht
sich vieler alten Wörter und Redensarten, die nicht mehr
gebräuchlich seyn.
[There were subsequent editions of this work in 1700
and 1718. The notice of Chaucer is repeated in them with
slight verbal alterations.]",,,de
part5_p129_a3,Vol.3,Part V,p129,1691.,1691,high,"Ludolf (or Leutolf), Hiob.",high,Hiob Ludolf,male,7400281,Jobi Ludolfi alias Leutholf dicti ad suam Historiam Æthiopicam ante hac editam Commentarius...,"Francofurti ad Mœnum, 1691, p. 440.","L. iii, c. 6, N. lxxi.
Seldenus id etiam olim in Britannia inter Christianos in
usu fuisse docet, producto veteri rhythmi Galfredi Chauceri,
qui sub Eduardo tertio floruit, de uxore sua Bathoniensi
ante fores templi quinquies maritata, Anglicè sic cecinit:
She was a worthy woman all her live
Husbands at the Church dore had she fibe.
Id est:
Sie war ein würdig Weib in allem ihrem Leben
Der Männer fünff bekam sie für der Kirch Thür eben.
[For the Selden reference see above, pt. i, 1646.]",,,la
part5_p130_a1,Vol.3,Part V,p130,1694,1694,high,"Bentheim, H. L.",high,Heinrich Ludolf Benthem,male,25333033,"Engeländischer Kirch- und Schulen-Staat,","Lüneburg, 1694, p. 595.","[In a list of Gelehrte of the fourteenth century :]
Geoffrey Chawcer, ein grosser Poet, welchen die Engeländer
für ihren Homerum halten.
[This notice was much extended in a second edition. See
1732.]",,,de
part5_p130_a2,Vol.3,Part V,p130,1700.,1700,high,Unknown.,low,Unknown,,,"[A review of Dryden's Fables Ancient and Modern, 1700, in] Acta Eruditorum,","Leipzig, July 1700, p. 321-4.","[p. 321] Quae in laudem Chauceri, poëtarum Anglorum communis
velut patris, præposuisse in titulo hujus operis videtur
auctor Johannes Dryden, ex Virgilii Æneid. Lib. 5 : [ll.55-56.]
Nunc ultro ad cineres ipsius, & ossa parentis
(Haud equidem sine mente reor, sine Numine Divum.)
Adsumus;
non sine omine Angli jam ad ipsum Auctorem applicare
[p. 323] . . . Inde Ovidium quoque cum Chaucero poëta Anglo
poterunt.
admodum vetusto comparat, & utrumque ait patriam linguam
percoluisse, utrumque fuisse ingenuum, festivum, amantem,
utrumque Philosophiae, Philologiae, Astronomiae operam
dedisse; facilem utrique esse dictionem, sed neutrum pro¬
priis inventis multum excellere: Ovidium quippe Grae¬
corum fabulas descripsisse, Chaucerum Italorum sui temporis
poemata in suum usum convertisse; aliqua tamen Chaucerum
invenisse, Ovidium, quantum constet, nihil prorsus. Neque
minus praestare Chaucerum in affectibus atque actionibus
personarum ad vivum describendis, atque ipsa verborum
simplicitate, cum natura rerum minus saepe ferre videatur
verborum & sententiarum flexus, quales apud Ovidium
ubique ferme offendas. Quid quod Chaucerum eodem loco
Anglis habendum putat, quo Graeci Homerum, & Virgilium
Romani habebant? ... [and another page of this epitome
of the Preface dealing with Chaucer].",,,la
part5_p130_a3,Vol.3,Part V,p130-131,1704.,1704,high,Unknown.,low,Unknown,,,"[A review of The London Spy, id est Explorator Londinensis, Londini, 1703, in] Acta Eruditorum,","Leipzig, June 1704, p. 284. [Describing Dryden’s funeral.]","Postquam itaque in templum Abbatiæ Westmonasteriensis
ventum esset, cantatum est epicedium, & postrema a
quodam ejus templi Sacerdote persoluta sunt, demumque
funus, magna cum honoris significatione, medio loco inter
Chaucerum & Coulæum, insignes Anglorum Poëtas, Epicum
alterum, alterum Lyricum, tumulatum est; quo in loco ut
splendidum monumentum, tantoque viro dignum erigatur,
Nobiliores quidam Angli procurabunt.",,,la
part5_p131_a1,Vol.3,Part V,p131,1709.,1709,high,Unknown.,low,Unknown,,,"[A review of A New View of London, 1708, in] Acta Eruditorum,","Leipzig, March, 1709, p. 112.","[Account of Westminster Abbey, and the poets buried
there.] Proximi sunt Cowlejo Poetæ alii, Galfridus Chaucer,
A. 1400, Edmundus Spencerus, A. 1596 [etc.].",,,la
part5_p131_a2,Vol.3,Part V,p131,1715.,1715,high,"Mencke, Johann Burchard.",high,Johann Burckhardt Mencke,male,76466492,"Compendiöses Gelehrten-Lexicon,","Leipzig, 1715, p. 466.","Chaucer (Godfried, oder Galfried) ein in der Mathematic,
studiis elegantioribus und Poësie wohl erfahrener Ritter,
von Woodstock in Engeland, wurde wegen seiner schönen
Verse der Englische Homerus genannt, schrieb im Engl.
laudes bonarum mulierum, vitam Cleopatræ, vitam Lucretiæ
Romanæ, und andere Schrifften, welche zu London zusam¬
men gedruckt sind, und st. 1400.
[The notice is similar in the subsequent editions of 1726
and 1733. In 1750-3 this work was republished as Jöcher's
Allgemeines Gelehrten-Lexicon, and the Chaucer notice in it
has slight additions (vol. i, p. 1855, col. i). In the list of his
works, after ‘vitam Lucretiæ romanæ' is added :— ‘amorum
Troili de Chriseidae libros 2, welche letztern Franc.
Kingston [sic] in lateinische Verse gebracht, nebst andern
Schriften,’ etc. The alternative date 1402 is added for
Chaucer's death. The later edition of this Lexicon, 1787-
1822, is merely supplementary of names up to then
omitted.]",,,de
